"dates","trend.smoothed"
1961-01-01,8.12341471866865
1961-04-01,8.13679097077028
1961-07-01,8.14873084780475
1961-10-01,8.16038951636575
1962-01-01,8.17190084916265
1962-04-01,8.17885784077171
1962-07-01,8.18946248578736
1962-10-01,8.19426018518293
1963-01-01,8.20383402705491
1963-04-01,8.21198746353551
1963-07-01,8.22698277268139
1963-10-01,8.23119585058775
1964-01-01,8.2455889410842
1964-04-01,8.25298811184866
1964-07-01,8.26464288644196
1964-10-01,8.26713030880933
1965-01-01,8.28306132108625
1965-04-01,8.28964972385266
1965-07-01,8.30201195706777
1965-10-01,8.31430170719047
1966-01-01,8.3293727272881
1966-04-01,8.33289239910776
1966-07-01,8.34165094281982
1966-10-01,8.35041687016309
1967-01-01,8.36022963488167
1967-04-01,8.36454347420529
1967-07-01,8.37436300192185
1967-10-01,8.38098905944709
1968-01-01,8.3950376510419
1968-04-01,8.4067878416711
1968-07-01,8.41414968002886
1968-10-01,8.41958781741754
1969-01-01,8.43335580828116
1969-04-01,8.43923853916554
1969-07-01,8.44947978925579
1969-10-01,8.4530362152112
1970-01-01,8.45922121914395
1970-04-01,8.46624917034373
1970-07-01,8.47837756384406
1970-10-01,8.47503594979477
1971-01-01,8.49608767207329
1971-04-01,8.50149400632551
1971-07-01,8.51007160958657
1971-10-01,8.51351920780844
1972-01-01,8.52580546796321
1972-04-01,8.53980165999918
1972-07-01,8.5449530138915
1972-10-01,8.55478012143534
1973-01-01,8.57031439278515
1973-04-01,8.57942589576433
1973-07-01,8.58030189613121
1973-10-01,8.59331601361863
1974-01-01,8.59478060920067
1974-04-01,8.60547822172282
1974-07-01,8.60865627232758
1974-10-01,8.61633042675141
1975-01-01,8.61640145075565
1975-04-01,8.62618412825295
1975-07-01,8.63910194259205
1975-10-01,8.64767993622605
1976-01-01,8.66271133116711
1976-04-01,8.6688974908857
1976-07-01,8.67531759386229
1976-10-01,8.68254300029652
1977-01-01,8.69133007349497
1977-04-01,8.70410656516869
1977-07-01,8.71697578345625
1977-10-01,8.71908174938859
1978-01-01,8.72160260433628
1978-04-01,8.74592164596583
1978-07-01,8.75133886574158
1978-10-01,8.76231301908712
1979-01-01,8.76734975423813
1979-04-01,8.77301768310606
1979-07-01,8.7832161223658
1979-10-01,8.79074972993159
1980-01-01,8.80135093896862
1980-04-01,8.79643064570143
1980-07-01,8.80246316441531
1980-10-01,8.81774473880455
1981-01-01,8.83347892230781
1981-04-01,8.83257311265683
1981-07-01,8.84768808792217
1981-10-01,8.8491973986691
1982-01-01,8.84827998380096
1982-04-01,8.85985616585461
1982-07-01,8.86383189698183
1982-10-01,8.86856607938478
1983-01-01,8.87836709710552
1983-04-01,8.89160660792036
1983-07-01,8.90183822715993
1983-10-01,8.91264151149296
1984-01-01,8.92318320440221
1984-04-01,8.93369198820773
1984-07-01,8.94067284567398
1984-10-01,8.94771440884954
1985-01-01,8.95601129610431
1985-04-01,8.9631766357093
1985-07-01,8.97470123708472
1985-10-01,8.98124048250491
1986-01-01,8.99001269051422
1986-04-01,8.99566126719053
1986-07-01,9.00492058602095
1986-10-01,9.01116631016306
1987-01-01,9.01846759874868
1987-04-01,9.02746193638831
1987-07-01,9.03420689450368
1987-10-01,9.04677613945711
1988-01-01,9.05134654825263
1988-04-01,9.06199939082394
1988-07-01,9.06742535116996
1988-10-01,9.07790891300813
1989-01-01,9.08635313524835
1989-04-01,9.09377255077302
1989-07-01,9.10184405972982
1989-10-01,9.10638831907936
1990-01-01,9.11739973484722
1990-04-01,9.12434184159724
1990-07-01,9.13136991470893
1990-10-01,9.13283672262153
1991-01-01,9.13649522166842
1991-04-01,9.14673779819709
1991-07-01,9.15387535410178
1991-10-01,9.15908875181163
1992-01-01,9.1690312216775
1992-04-01,9.17752392763504
1992-07-01,9.18554762652011
1992-10-01,9.19490120864171
1993-01-01,9.19911881737411
1993-04-01,9.20644950524169
1993-07-01,9.21197183370522
1993-10-01,9.22250921681513
1994-01-01,9.2296797652447
1994-04-01,9.23989930945064
1994-07-01,9.24526024203659
1994-10-01,9.25531588890624
1995-01-01,9.26070150531489
1995-04-01,9.26600297962522
1995-07-01,9.27457240793977
1995-10-01,9.28130891886116
1996-01-01,9.28753787792874
1996-04-01,9.29935019839666
1996-07-01,9.3059121447089
1996-10-01,9.31407020217929
1997-01-01,9.31906816860764
1997-04-01,9.33040877119637
1997-07-01,9.33888205973023
1997-10-01,9.34534022660648
1998-01-01,9.35301647717051
1998-04-01,9.35980091084301
1998-07-01,9.36812002324674
1998-10-01,9.37874644666086
1999-01-01,9.38539957499138
1999-04-01,9.39110132586392
1999-07-01,9.3998497646712
1999-10-01,9.41136766919765
2000-01-01,9.41406089754869
2000-04-01,9.42779959591319
2000-07-01,9.43096714695738
2000-10-01,9.43932592366112
2001-01-01,9.44196538083502
2001-04-01,9.45116293940241
2001-07-01,9.45327186183511
2001-10-01,9.45936526424445
2002-01-01,9.46835546808661
2002-04-01,9.4753265411898
2002-07-01,9.48173676500361
2002-10-01,9.48616589920247
2003-01-01,9.4924515845866
2003-04-01,9.49909422881683
2003-07-01,9.5104313242862
2003-10-01,9.5184599998575
2004-01-01,9.52337670904856
2004-04-01,9.53009463724571
2004-07-01,9.5376023141957
2004-10-01,9.54520965157044
2005-01-01,9.55391262068152
2005-04-01,9.55857652550407
2005-07-01,9.56637814589264
2005-10-01,9.57200059777497
2006-01-01,9.58279941271175
2006-04-01,9.58704371357203
2006-07-01,9.59129541023568
2006-10-01,9.60018930890344
2007-01-01,9.6047345590744
