"dates","y*(t)","y*(t-1)","y*(t-2)","g(t-1)"
1961-01-01,811.9568859983,810.749268715957,810.051949093864,1.00983100657052
1961-04-01,813.320942876566,811.9568859983,810.749268715957,1.0072288599699
1961-07-01,814.542841254046,813.320942876566,811.9568859983,1.00278265209417
1961-10-01,815.722815376574,814.542841254046,813.320942876566,0.99721515051926
1962-01-01,816.859626305102,815.722815376574,814.542841254046,0.99113304475495
1962-04-01,817.416184724241,816.859626305102,815.722815376574,0.986985246440455
1962-07-01,818.398819084127,817.416184724241,816.859626305102,0.984646911680588
1962-10-01,818.68213883316,818.398819084127,817.416184724241,0.985669845809908
1963-01-01,819.602114930199,818.68213883316,818.398819084127,0.988970982712334
1963-04-01,820.446891176334,819.602114930199,818.68213883316,0.993299194578893
1963-07-01,822.166040906437,820.446891176334,819.602114930199,0.99587290662998
1963-10-01,822.589088554518,822.166040906437,820.446891176334,0.999551071412442
1964-01-01,824.278653005454,822.589088554518,822.166040906437,1.00253605611771
1964-04-01,825.118969886947,824.278653005454,822.589088554518,1.00532913900013
1964-07-01,826.426181267119,825.118969886947,824.278653005454,1.00809053499199
1964-10-01,826.623222071786,826.426181267119,825.118969886947,1.01339098628134
1965-01-01,828.519287855277,826.623222071786,826.426181267119,1.01708991366798
1965-04-01,829.332557035592,828.519287855277,826.623222071786,1.01929940339418
1965-07-01,830.895800219227,829.332557035592,828.519287855277,1.01922548259435
1965-10-01,832.506978827291,830.895800219227,829.332557035592,1.0150842619011
1966-01-01,834.405927275181,832.506978827291,830.895800219227,1.00627471753523
1966-04-01,834.805030682502,834.405927275181,832.506978827291,0.997910537531779
1966-07-01,835.822516792981,834.805030682502,834.405927275181,0.990846150883002
1966-10-01,836.872168934068,835.822516792981,834.805030682502,0.983631988817934
1967-01-01,838.018889926203,836.872168934068,835.822516792981,0.975969918603265
1967-04-01,838.438841235435,838.018889926203,836.872168934068,0.970043111802381
1967-07-01,839.497341056819,838.438841235435,838.018889926203,0.964814313844617
1967-10-01,840.190520039118,839.497341056819,838.438841235435,0.959942231677226
1968-01-01,841.835577538246,840.190520039118,839.497341056819,0.952682824095017
1968-04-01,843.181540928462,841.835577538246,840.190520039118,0.942480264694855
1968-07-01,843.922398879347,843.181540928462,841.835577538246,0.93232425128607
1968-10-01,844.43429585204,843.922398879347,843.181540928462,0.92400727730687
1969-01-01,845.975001052513,844.43429585204,843.922398879347,0.914321574998813
1969-04-01,846.526887125043,845.975001052513,844.43429585204,0.904815724947472
1969-07-01,847.595175535552,846.526887125043,845.975001052513,0.895894723472856
1969-10-01,847.872639546852,847.595175535552,846.526887125043,0.88932320648357
1970-01-01,848.504104579678,847.872639546852,847.595175535552,0.885234440409797
1970-04-01,849.294763753569,848.504104579678,847.872639546852,0.882085794329414
1970-07-01,850.672279824601,849.294763753569,848.504104579678,0.877688718603549
1970-10-01,850.148257613858,850.672279824601,849.294763753569,0.877238739378912
1971-01-01,852.612108641536,850.148257613858,850.672279824601,0.874014710985679
1971-04-01,853.040798605923,852.612108641536,850.148257613858,0.869522728591477
1971-07-01,853.664847204668,853.040798605923,852.612108641536,0.867269601989337
1971-10-01,853.682195127995,853.664847204668,853.040798605923,0.868325808830251
1972-01-01,854.90789251731,853.682195127995,853.664847204668,0.868897306674704
1972-04-01,856.357403092142,854.90789251731,853.682195127995,0.865721930746312
1972-07-01,856.671190254063,856.357403092142,854.90789251731,0.862141779106793
1972-10-01,857.622514335393,856.671190254063,856.357403092142,0.857708598167366
1973-01-01,859.337834603196,857.622514335393,856.671190254063,0.848420881142687
1973-04-01,860.227068210078,859.337834603196,857.622514335393,0.836261658288309
1973-07-01,860.099405785525,860.227068210078,859.337834603196,0.826718147891007
1973-10-01,861.558689004301,860.099405785525,860.227068210078,0.816318351084946
1974-01-01,861.700922511269,861.558689004301,860.099405785525,0.806777004158457
1974-04-01,862.917514945248,861.700922511269,861.558689004301,0.79752177720337
1974-07-01,863.178820830654,862.917514945248,861.700922511269,0.790384699886477
1974-10-01,863.966905555493,863.178820830654,862.917514945248,0.785842731333456
1975-01-01,863.755303420456,863.966905555493,863.178820830654,0.78600193420631
1975-04-01,864.607216116898,863.755303420456,863.966905555493,0.788398815825531
1975-07-01,865.755122505373,864.607216116898,863.755303420456,0.789471027281703
1975-10-01,866.387688151258,865.755122505373,864.607216116898,0.790389212627096
1976-01-01,867.845152394641,866.387688151258,865.755122505373,0.789599865147711
1976-04-01,868.171494169973,867.845152394641,866.387688151258,0.789778144558274
1976-07-01,868.504431010328,868.171494169973,867.845152394641,0.79315066024791
1976-10-01,869.015250229263,868.504431010328,868.171494169973,0.79887058188095
1977-01-01,869.820314127979,869.015250229263,868.504431010328,0.805231569304609
1977-04-01,871.173477999583,869.820314127979,869.015250229263,0.809719837911018
1977-07-01,872.474808103015,871.173477999583,869.820314127979,0.811861262807611
1977-10-01,872.359031697665,872.474808103015,871.173477999583,0.81682833279682
1978-01-01,872.417779780848,872.359031697665,872.474808103015,0.825793536416646
1978-04-01,875.330235987438,872.417779780848,872.359031697665,0.828064009316404
1978-07-01,875.930461506437,875.330235987438,872.417779780848,0.826564693179403
1978-10-01,877.112418433834,875.930461506437,875.330235987438,0.824311158614445
1979-01-01,877.557265892033,877.112418433834,875.930461506437,0.82281385893518
1979-04-01,878.143277786967,877.557265892033,877.112418433834,0.822837146134021
1979-07-01,879.343881435655,878.143277786967,877.557265892033,0.822087027505335
1979-10-01,880.214556729758,879.343881435655,878.143277786967,0.820706462702835
1980-01-01,881.420979627183,880.214556729758,879.343881435655,0.818861110878424
1980-04-01,880.757463767245,881.420979627183,880.214556729758,0.822446555461416
1980-07-01,881.536223186931,880.757463767245,881.420979627183,0.829194185315062
1980-10-01,883.439670050168,881.536223186931,880.757463767245,0.831809957682378
1981-01-01,885.32081540254,883.439670050168,881.536223186931,0.828778864183505
1981-04-01,885.206111098697,885.32081540254,883.439670050168,0.827411924870522
1981-07-01,887.093690110057,885.206111098697,885.32081540254,0.824863453298891
1981-10-01,887.320479413455,887.093690110057,885.206111098697,0.823416035209006
1982-01-01,887.134446229663,887.320479413455,887.093690110057,0.827700136310247
1982-04-01,888.432255992181,887.134446229663,887.320479413455,0.833000611826678
1982-07-01,888.854540665318,888.432255992181,887.134446229663,0.839416061213286
1982-10-01,889.347193411425,888.854540665318,888.432255992181,0.848232837011776
1983-01-01,890.416742039011,889.347193411425,888.854540665318,0.856752483129461
1983-04-01,891.870408335829,890.416742039011,889.347193411425,0.862267777127008
1983-07-01,892.927503893596,891.870408335829,890.416742039011,0.865351349098803
1983-10-01,894.0610971029,892.927503893596,891.870408335829,0.866677589611312
1984-01-01,895.199594895513,894.0610971029,892.927503893596,0.865952693545517
1984-04-01,896.34573111634,895.199594895513,894.0610971029,0.863370969728052
1984-07-01,897.053796463944,896.34573111634,895.199594895513,0.860585640967374
1984-10-01,897.830441810722,897.053796463944,896.34573111634,0.858058256801421
1985-01-01,898.809866025093,897.830441810722,897.053796463944,0.854809795510654
1985-04-01,899.611720675103,898.809866025093,897.830441810722,0.851088884190357
1985-07-01,900.897369995425,899.611720675103,898.809866025093,0.845533588731559
1985-10-01,901.520491435519,900.897369995425,899.611720675103,0.839679285425271
1986-01-01,902.378704807254,901.520491435519,900.897369995425,0.834074276773144
1986-04-01,902.858586869218,902.378704807254,901.520491435519,0.829584757631143
1986-07-01,903.770449577709,902.858586869218,902.378704807254,0.825335747726353
1986-10-01,904.283287592756,903.770449577709,902.858586869218,0.821837597011942
1987-01-01,904.911669944409,904.283287592756,903.770449577709,0.8193646005495
1987-04-01,905.776587055731,904.911669944409,904.283287592756,0.81668566825316
1987-07-01,906.420659513344,905.776587055731,904.911669944409,0.814027178754691
1987-10-01,907.801477928419,906.420659513344,905.776587055731,0.809311526060876
1988-01-01,908.199864769512,907.801477928419,906.420659513344,0.804609625647139
1988-04-01,909.312964699753,908.199864769512,907.801477928419,0.799385708090591
1988-07-01,909.781460964761,909.312964699753,908.199864769512,0.794377335223055
1988-10-01,910.889145633303,909.781460964761,909.312964699753,0.78846143531804
1989-01-01,911.764266124301,910.889145633303,909.781460964761,0.781107207229955
1989-04-01,912.512230843235,911.764266124301,910.889145633303,0.77315081974032
1989-07-01,913.354207304625,912.512230843235,911.764266124301,0.764382680245683
1989-10-01,913.795942503707,913.354207304625,912.512230843235,0.755803334665993
1990-01-01,915.047609847484,913.795942503707,913.354207304625,0.745457952276085
1990-04-01,915.763697078878,915.047609847484,913.795942503707,0.734036217590194
1990-07-01,916.381312657648,915.763697078878,915.047609847484,0.723432282554523
1990-10-01,916.234044213997,916.381312657648,915.763697078878,0.716595797477583
1991-01-01,916.369962442038,916.234044213997,916.381312657648,0.71363185037611
1991-04-01,917.351822442753,916.369962442038,916.234044213997,0.710751871128121
1991-07-01,917.924852212348,917.351822442753,916.369962442038,0.707764538243181
1991-10-01,918.24736894875,917.924852212348,917.351822442753,0.706341155250895
1992-01-01,919.170391574866,918.24736894875,917.924852212348,0.704760253138109
1992-04-01,919.906393517809,919.170391574866,918.24736894875,0.702588365156517
1992-07-01,920.557163898797,919.906393517809,919.170391574866,0.70070277823009
1992-10-01,921.338098422608,920.557163898797,919.906393517809,0.699135311078869
