"dates","trend.smoothed"
1961-01-01,1.62584857248601
1961-04-01,1.64349974597956
1961-07-01,1.65715751202097
1961-10-01,1.66408443433228
1962-01-01,1.68013500018577
1962-04-01,1.68500905607352
1962-07-01,1.69419886962998
1962-10-01,1.70811974031989
1963-01-01,1.71325458691589
1963-04-01,1.7242167434168
1963-07-01,1.72872075120264
1963-10-01,1.74646014148171
1964-01-01,1.76077265815165
1964-04-01,1.76432583279428
1964-07-01,1.77372550692897
1964-10-01,1.77792162285954
1965-01-01,1.79756679945682
1965-04-01,1.80302610251022
1965-07-01,1.81118915768391
1965-10-01,1.82529192452486
1966-01-01,1.83581917700151
1966-04-01,1.85001481915909
1966-07-01,1.85249673422832
1966-10-01,1.86477617436685
1967-01-01,1.86681838570256
1967-04-01,1.88367155088593
1967-07-01,1.8894082045648
1967-10-01,1.89590809130322
1968-01-01,1.90284865948639
1968-04-01,1.91992278030749
1968-07-01,1.92826937699898
1968-10-01,1.93803867474275
1969-01-01,1.94850896295445
1969-04-01,1.95451066766059
1969-07-01,1.96412847710605
1969-10-01,1.97606174623354
1970-01-01,1.98423915017044
1970-04-01,1.98901277544958
1970-07-01,2.00078361940067
1970-10-01,2.00729263110091
1971-01-01,2.00686333862244
1971-04-01,2.0249157538584
1971-07-01,2.04073735198156
1971-10-01,2.04882125254634
1972-01-01,2.04845812618175
1972-04-01,2.06802631016537
1972-07-01,2.06958490716847
1972-10-01,2.08361336695712
1973-01-01,2.09881420734586
1973-04-01,2.10656632274189
1973-07-01,2.11107053578755
1973-10-01,2.12546336732858
1974-01-01,2.13290150865913
1974-04-01,2.14466239985339
1974-07-01,2.15092275900947
1974-10-01,2.15639088123357
1975-01-01,2.15926641038601
1975-04-01,2.17124676880448
1975-07-01,2.18438906340224
1975-10-01,2.19212827362492
1976-01-01,2.20303230237502
1976-04-01,2.21745050758367
1976-07-01,2.22295212763254
1976-10-01,2.22800794814465
1977-01-01,2.2407435339984
1977-04-01,2.24771538983526
1977-07-01,2.25434564472164
1977-10-01,2.26715586492307
1978-01-01,2.27528373521001
1978-04-01,2.28295820579248
1978-07-01,2.29233899452018
1978-10-01,2.30102357031208
1979-01-01,2.30909047964612
1979-04-01,2.32052003740145
1979-07-01,2.32823067823585
1979-10-01,2.33665063062201
1980-01-01,2.34624569618832
1980-04-01,2.35196066611502
1980-07-01,2.35622239602871
1980-10-01,2.36747100293242
1981-01-01,2.38280955427297
1981-04-01,2.3939949486961
1981-07-01,2.39604341483852
1981-10-01,2.40382853807466
1982-01-01,2.40804415501987
1982-04-01,2.41274104992895
1982-07-01,2.41820211774162
1982-10-01,2.41978557117818
1983-01-01,2.43359650627039
1983-04-01,2.44647445306295
1983-07-01,2.45386463196535
1983-10-01,2.46213161362557
1984-01-01,2.47267990901093
1984-04-01,2.48532492649826
1984-07-01,2.48881886029906
1984-10-01,2.5000169535715
1985-01-01,2.51110992514346
1985-04-01,2.51512516627124
1985-07-01,2.52524072985288
1985-10-01,2.5375943688434
1986-01-01,2.54132910599947
1986-04-01,2.55039791449037
1986-07-01,2.55726948320139
1986-10-01,2.5570391544963
1987-01-01,2.57366268288788
1987-04-01,2.58176115717035
1987-07-01,2.59163862458561
1987-10-01,2.60023439723159
1988-01-01,2.61076382740646
1988-04-01,2.61927588318046
1988-07-01,2.62331616994709
1988-10-01,2.63161364040481
1989-01-01,2.64244418855156
1989-04-01,2.64908644914698
1989-07-01,2.65683559810138
1989-10-01,2.66101011259955
1990-01-01,2.6733009942885
1990-04-01,2.67821585549138
1990-07-01,2.6833478738893
1990-10-01,2.6884143004147
1991-01-01,2.68897117488447
1991-04-01,2.69986292739566
1991-07-01,2.70690198318101
1991-10-01,2.71413173923466
1992-01-01,2.72052857496812
1992-04-01,2.7267590745064
1992-07-01,2.7348600254165
1992-10-01,2.74244002057668
1993-01-01,2.74986913718338
1993-04-01,2.75848235509939
1993-07-01,2.76728460718248
1993-10-01,2.77217878601314
1994-01-01,2.78277110395751
1994-04-01,2.79253718608039
1994-07-01,2.80185002324388
1994-10-01,2.80872422399193
1995-01-01,2.81836380365898
1995-04-01,2.8234661325239
1995-07-01,2.82979748683892
1995-10-01,2.83781755661134
1996-01-01,2.84303552682448
1996-04-01,2.85140105605054
1996-07-01,2.85981550407287
1996-10-01,2.86700618993824
1997-01-01,2.87686295607739
1997-04-01,2.88515711851092
1997-07-01,2.89397644473263
1997-10-01,2.9014992483939
1998-01-01,2.91279428279527
1998-04-01,2.91584969244509
1998-07-01,2.92394924304802
1998-10-01,2.93320600700415
1999-01-01,2.9448939614494
1999-04-01,2.95034481939692
1999-07-01,2.9604748863148
1999-10-01,2.96909647195235
2000-01-01,2.97926943044094
2000-04-01,2.98770114827145
2000-07-01,2.99674595270167
2000-10-01,3.00171193583516
2001-01-01,3.0099020487394
2001-04-01,3.01685507604712
2001-07-01,3.02141687270787
2001-10-01,3.02885593962932
2002-01-01,3.04082208578106
2002-04-01,3.04704031246787
2002-07-01,3.05583092517619
2002-10-01,3.06310154743372
2003-01-01,3.07144427473014
2003-04-01,3.07568354597057
2003-07-01,3.08288548099592
2003-10-01,3.09101120645273
2004-01-01,3.09823015463833
2004-04-01,3.10769808104702
2004-07-01,3.11715767349437
2004-10-01,3.12459259952655
2005-01-01,3.13018170364679
2005-04-01,3.13766773936321
2005-07-01,3.14752536554752
2005-10-01,3.15607417108847
2006-01-01,3.16474927605352
2006-04-01,3.169689142472
2006-07-01,3.17650736243756
2006-10-01,3.18351232124872
2007-01-01,3.19129644444522
