"dates","y*(t)","y*(t-1)","y*(t-2)","g(t-1)"
1961-01-01,162.473304585875,162.520966441033,160.8811507737,1.19142904725631
1961-04-01,164.535684247448,162.473304585875,162.520966441033,1.19118964955445
1961-07-01,166.165196449803,164.535684247448,162.473304585875,1.18875124007297
1961-10-01,166.923757285657,166.165196449803,164.535684247448,1.18712434706203
1962-01-01,168.791376907236,166.923757285657,166.165196449803,1.18396153077701
1962-04-01,169.293976601954,168.791376907236,166.923757285657,1.18232028473318
1962-07-01,170.372661885737,169.293976601954,168.791376907236,1.18170372786188
1962-10-01,172.106238395401,170.372661885737,169.293976601954,1.17969321961528
1963-01-01,172.737475711717,172.106238395401,170.372661885737,1.17896656351795
1963-04-01,174.021055770727,172.737475711717,172.106238395401,1.17856222108492
1963-07-01,174.574986654207,174.021055770727,172.737475711717,1.17978226945384
1963-10-01,176.855698546562,174.574986654207,174.021055770727,1.17817684755558
1964-01-01,178.688067113411,176.855698546562,174.574986654207,1.17372547460231
1964-04-01,179.084803149997,178.688067113411,176.855698546562,1.17122942908041
1964-07-01,180.144058627986,179.084803149997,178.688067113411,1.16999185672485
1964-10-01,180.645321174776,180.144058627986,179.084803149997,1.1707467763823
1965-01-01,183.131732693176,180.645321174776,180.144058627986,1.16813799732435
1965-04-01,183.85319488172,183.131732693176,180.645321174776,1.16558913103465
1965-07-01,184.889806002267,183.85319488172,183.131732693176,1.16368270955921
1965-10-01,186.713938295768,184.889806002267,183.85319488172,1.1597115408792
1966-01-01,188.116097170863,186.713938295768,184.889806002267,1.15426414431995
1966-04-01,189.89591903836,188.116097170863,186.713938295768,1.1468702757498
1966-07-01,190.158329543355,189.89591903836,188.116097170863,1.14171332517274
1966-10-01,191.589543712479,190.158329543355,189.89591903836,1.13674200438945
1967-01-01,191.807545229854,191.589543712479,190.158329543355,1.13428851133307
1967-04-01,193.898419573523,191.807545229854,191.589543712479,1.12997770229847
1967-07-01,194.59183373917,193.898419573523,191.807545229854,1.1263082197019
1967-10-01,195.293314169735,194.59183373917,193.898419573523,1.12447504237801
1968-01-01,196.110833381233,195.293314169735,194.59183373917,1.1238154184724
1968-04-01,198.273986484712,196.110833381233,195.293314169735,1.12018175309087
1968-07-01,199.405831179681,198.273986484712,196.110833381233,1.11542057001145
1968-10-01,200.687223632115,199.405831179681,198.273986484712,1.11012814009583
1969-01-01,201.982761791933,200.687223632115,199.405831179681,1.10417953755481
1969-04-01,202.697050644915,201.982761791933,200.687223632115,1.09924352301107
1969-07-01,203.87284166634,202.697050644915,201.982761791933,1.09443654001404
1969-10-01,205.348475642772,203.87284166634,202.697050644916,1.08845480270506
1970-01-01,206.342279320765,205.348475642772,203.87284166634,1.08254729266607
