Title:               Discount Rates, Federal Reserve Bank of New York for United States
Series ID:           M13009USM156NNBR
Source:              National Bureau of Economic Research
Release:             NBER Macrohistory Database (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1914-11-01 to 1969-07-01
Last Updated:        2012-08-20 8:16 AM CDT
Notes:               Data Are Computed By NBER By Taking Simple Averages Of Rates For
                     Commercial, Agricultural, And Livestock Paper, And Weighting Them By
                     The Number Of Days Each Rate Was In Force. Data Are For All Classes
                     And Maturities Of Discount Bills. Source: Federal Reserve Board, Data
                     For 1914-1922: "Discount Rates Of Federal Reserve Banks, 1914-1921",
                     1922. Data For 1922-1969: Annual Reports For 1931-1942; Federal
                     Reserve Bulletin, Successive Issues.
                     
                     This NBER data series m13009 appears on the NBER website in Chapter 13
                     at http://www.nber.org/databases/macrohistory/contents/chapter13.html.
                     
                     NBER Indicator: m13009

DATE       VALUE
1920-04-01  6.00
1920-05-01  6.00
1920-06-01  7.00
1920-07-01  7.00
1920-08-01  7.00
1920-09-01  7.00
1920-10-01  7.00
1920-11-01  7.00
1920-12-01  7.00
1921-01-01  7.00
1921-02-01  7.00
1921-03-01  7.00
1921-04-01  7.00
1921-05-01  6.56
1921-06-01  6.25
1921-07-01  5.82
1921-08-01  5.50
1921-09-01  5.35
1921-10-01  5.00
1921-11-01  4.53
1921-12-01  4.50
1922-01-01  4.50
1922-02-01  4.50
1922-03-01  4.50
1922-04-01  4.50
1922-05-01  4.50
1922-06-01  4.35
1922-07-01  4.00
1922-08-01  4.00
1922-09-01  4.00
1922-10-01  4.00
1922-11-01  4.00
1922-12-01  4.00
1923-01-01  4.00
1923-02-01  4.11
1923-03-01  4.50
1923-04-01  4.50
1923-05-01  4.50
1923-06-01  4.50
1923-07-01  4.50
1923-08-01  4.50
1923-09-01  4.50
1923-10-01  4.50
1923-11-01  4.50
1923-12-01  4.50
1924-01-01  4.50
1924-02-01  4.50
1924-03-01  4.50
1924-04-01  4.50
1924-05-01  4.00
1924-06-01  3.68
1924-07-01  3.50
1924-08-01  3.11
1924-09-01  3.00
1924-10-01  3.00
1924-11-01  3.00
1924-12-01  3.00
1925-01-01  3.00
1925-02-01  3.04
1925-03-01  3.50
1925-04-01  3.50
1925-05-01  3.50
1925-06-01  3.50
1925-07-01  3.50
1925-08-01  3.50
1925-09-01  3.50
1925-10-01  3.50
1925-11-01  3.50
1925-12-01  3.50
1926-01-01  3.89
1926-02-01  4.00
1926-03-01  4.00
1926-04-01  3.87
1926-05-01  3.50
1926-06-01  3.50
1926-07-01  3.50
1926-08-01  3.81
1926-09-01  4.00
1926-10-01  4.00
1926-11-01  4.00
1926-12-01  4.00
1927-01-01  4.00
1927-02-01  4.00
1927-03-01  4.00
1927-04-01  4.00
1927-05-01  4.00
1927-06-01  4.00
1927-07-01  4.00
1927-08-01  3.56
1927-09-01  3.50
1927-10-01  3.50
1927-11-01  3.50
1927-12-01  3.50
1928-01-01  3.50
1928-02-01  3.97
1928-03-01  4.00
1928-04-01  4.00
1928-05-01  4.23
1928-06-01  4.50
1928-07-01  4.81
1928-08-01  5.00
1928-09-01  5.00
1928-10-01  5.00
1928-11-01  5.00
1928-12-01  5.00
1929-01-01  5.00
1929-02-01  5.00
1929-03-01  5.00
1929-04-01  5.00
1929-05-01  5.00
1929-06-01  5.00
1929-07-01  5.00
1929-08-01  5.74
1929-09-01  6.00
1929-10-01  6.00
1929-11-01  4.73
1929-12-01  4.50
1930-01-01  4.50
1930-02-01  4.11
1930-03-01  3.71
1930-04-01  3.50
1930-05-01  3.02
1930-06-01  2.82
1930-07-01  2.50
1930-08-01  2.50
1930-09-01  2.50
1930-10-01  2.50
1930-11-01  2.50
1930-12-01  2.37
1931-01-01  2.00
1931-02-01  2.00
1931-03-01  2.00
1931-04-01  2.00
1931-05-01  1.61
1931-06-01  1.50
1931-07-01  1.50
1931-08-01  1.50
1931-09-01  1.50
1931-10-01  2.76
1931-11-01  3.50
1931-12-01  3.50
1932-01-01  3.50
1932-02-01  3.43
1932-03-01  3.00
1932-04-01  3.00
1932-05-01  3.00
1932-06-01  2.88
1932-07-01  2.50
1932-08-01  2.50
1932-09-01  2.50
1932-10-01  2.50
1932-11-01  2.50
1932-12-01  2.50
1933-01-01  2.50
1933-02-01  2.50
1933-03-01  3.44
1933-04-01  3.10
1933-05-01  2.90
1933-06-01  2.50
1933-07-01  2.50
1933-08-01  2.50
1933-09-01  2.50
1933-10-01  2.31
1933-11-01  2.00
1933-12-01  2.00
1934-01-01  2.00
1934-02-01  1.52
1934-03-01  1.50
1934-04-01  1.50
1934-05-01  1.50
1934-06-01  1.50
1934-07-01  1.50
