Title:               Consumer Price Index: All Items Excluding Food and Energy for United Kingdom
Series ID:           GBRCPICORQINMEI
Source:              Organization for Economic Co-operation and Development
Release:             Main Economic Indicators (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 2015=100
Date Range:          1970-01-01 to 2020-01-01
Last Updated:        2020-05-14 5:14 PM CDT
Notes:               Copyright, 2016, OECD. Reprinted with permission.
                     
                     All OECD data should be cited as follows: OECD (2010), "Main Economic
                     Indicators - complete database", Main Economic Indicators
                     (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)

DATE                   VALUE
1970-01-01  8.95792815543998
1970-04-01  9.20161998161610
1970-07-01  9.34551908629670
1970-10-01  9.53107783926710
1971-01-01  9.76214904106690
1971-04-01 10.08718120305740
1971-07-01 10.22542144484510
1971-10-01 10.33539877006980
1972-01-01 10.47508430097170
1972-04-01 10.69227763721720
1972-07-01 10.85827386670550
1972-10-01 11.14292603274820
1973-01-01 11.26812735093860
1973-04-01 11.63757341036810
1973-07-01 11.83447401673780
1973-10-01 12.14972114419890
1974-01-01 12.47140599133810
1974-04-01 13.23552039888520
1974-07-01 13.55406461716570
1974-10-01 14.11268979104490
1975-01-01 14.64993520462820
1975-04-01 16.11306744014090
1975-07-01 16.89962930336380
1975-10-01 17.48207221786770
1976-01-01 17.93856663627980
1976-04-01 18.57359921475450
1976-07-01 19.03311079609950
1976-10-01 19.69694524536650
1977-01-01 20.68547002004830
1977-04-01 21.61136428568370
1977-07-01 22.07614500587900
1977-10-01 22.53302328671160
1978-01-01 22.96679890111400
1978-04-01 23.61326274146740
1978-07-01 24.08521940871130
1978-10-01 24.58299578361560
1979-01-01 25.24233192556360
1979-04-01 26.15778502363150
1979-07-01 27.81364758235190
1979-10-01 28.61549765464740
1980-01-01 30.07360144725400
1980-04-01 31.86220774207680
1980-07-01 32.44521746855960
1980-10-01 33.10816287100040
1981-01-01 33.69596896934300
1981-04-01 35.38965405610310
1981-07-01 35.81078121646050
1981-10-01 36.75873585536680
1982-01-01 37.30892457963380
1982-04-01 38.48778919162070
1982-07-01 38.66491322167900
1982-10-01 38.81721082211660
1983-01-01 38.94882619269260
1983-04-01 39.88665024209760
1983-07-01 40.39928061888530
1983-10-01 40.81811408505560
1984-01-01 40.99304609887670
1984-04-01 41.87343220877380
1984-07-01 42.45570249280080
1984-10-01 43.08863890101870
1985-01-01 43.56737808255620
1985-04-01 45.17153542701710
1985-07-01 45.45509567699000
1985-10-01 45.76630091477920
1986-01-01 46.11674509300380
1986-04-01 47.00887362699740
1986-07-01 47.13486144967340
1986-10-01 47.84344402427220
1987-01-01 48.35162654854730
1987-04-01 49.20146380247750
1987-07-01 49.47644193258820
1987-10-01 50.09563444185590
1988-01-01 50.29803708087780
1988-04-01 51.62851487313600
1988-07-01 52.46382812211800
1988-10-01 53.76065796122620
1989-01-01 54.63510739707840
1989-04-01 56.13702233073200
1989-07-01 56.74750873447550
1989-10-01 57.91218278906840
1990-01-01 58.87740527464610
1990-04-01 61.85499206493500
1990-07-01 62.83011621707680
1990-10-01 63.74066850091530
1991-01-01 64.23942249333650
1991-04-01 65.35780327568640
1991-07-01 65.63239016666180
1991-10-01 66.38264565928240
1992-01-01 66.75357573548840
1992-04-01 68.37790855209420
1992-07-01 68.51423142355570
1992-10-01 68.72975461653540
1993-01-01 67.95635344454080
1993-04-01 69.05354620257690
1993-07-01 69.36712365135110
1993-10-01 69.79152555614440
1994-01-01 69.77095798075150
1994-04-01 70.90586306359760
1994-07-01 70.90514095626030
1994-10-01 71.53072822178000
1995-01-01 71.94778812942880
1995-04-01 73.35643365002920
1995-07-01 73.53498761416670
1995-10-01 73.70184389254030
1996-01-01 73.80671580671580
1996-04-01 74.71334971334970
1996-07-01 74.81408681408680
1996-10-01 75.48566748566750
1997-01-01 75.28419328419330
1997-04-01 76.09009009009010
1997-07-01 76.15724815724810
1997-10-01 76.89598689598690
1998-01-01 76.56019656019650
1998-04-01 77.33251433251430
1998-07-01 77.16461916461910
1998-10-01 77.76904176904180
1999-01-01 77.36609336609340
1999-04-01 78.00409500409500
1999-07-01 77.66830466830460
1999-10-01 78.07125307125300
2000-01-01 77.43325143325140
2000-04-01 77.97051597051600
2000-07-01 77.66830466830460
2000-10-01 78.27272727272720
2001-01-01 77.80262080262080
2001-04-01 78.77641277641280
2001-07-01 78.87714987714980
2001-10-01 79.21294021294020
2002-01-01 79.04504504504500
2002-04-01 79.81736281736280
2002-07-01 79.95167895167890
2002-10-01 80.52252252252250
2003-01-01 80.28746928746930
2003-04-01 80.82473382473380
2003-07-01 80.95904995904990
2003-10-01 81.36199836199840
2004-01-01 81.16052416052410
2004-04-01 81.73136773136770
2004-07-01 81.76494676494680
2004-10-01 82.23505323505320
2005-01-01 82.20000000000000
2005-04-01 82.90000000000000
2005-07-01 83.20000000000000
2005-10-01 83.60000000000000
2006-01-01 83.60000000000000
2006-04-01 84.30000000000000
2006-07-01 84.50000000000000
2006-10-01 85.20000000000000
2007-01-01 85.20000000000000
2007-04-01 86.00000000000000
2007-07-01 86.20000000000000
2007-10-01 86.70000000000000
2008-01-01 86.60000000000000
2008-04-01 87.60000000000000
2008-07-01 88.10000000000000
2008-10-01 88.40000000000000
2009-01-01 88.20000000000000
2009-04-01 89.10000000000000
2009-07-01 89.50000000000000
2009-10-01 89.80000000000000
2010-01-01 89.90000000000000
2010-04-01 90.80000000000000
2010-07-01 91.10000000000000
2010-10-01 91.70000000000000
2011-01-01 92.30000000000000
