Title:               Consumer Price Index of All Items in the United Kingdom
Series ID:           GBRCPIALLQINMEI
Source:              Organization for Economic Co-operation and Development
Release:             Main Economic Indicators (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 2015=100
Date Range:          1960-01-01 to 2020-01-01
Last Updated:        2020-05-14 5:12 PM CDT
Notes:               Copyright, 2016, OECD. Reprinted with permission.
                     
                     All OECD data should be cited as follows: OECD (2010), "Main Economic
                     Indicators - complete database", Main Economic Indicators
                     (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)

DATE                   VALUE
1960-01-01  5.60859260834145
1960-04-01  5.64263565907494
1960-07-01  5.65114642175831
1960-10-01  5.71072176054191
1961-01-01  5.74136050620204
1961-04-01  5.81285091274236
1961-07-01  5.88604347181935
1961-10-01  5.95242742074964
1962-01-01  6.01208786716007
1962-04-01  6.14008973791797
1962-07-01  6.11208932868968
1962-10-01  6.11008929945909
1963-01-01  6.20009061483574
1963-04-01  6.23609114098639
1963-07-01  6.19209049791337
1963-10-01  6.23809117021699
1964-01-01  6.29409198867357
1964-04-01  6.41009368404791
1964-07-01  6.46009441481272
1964-10-01  6.51809526249989
1965-01-01  6.57809613941766
1965-04-01  6.74209853632621
1965-07-01  6.77209897478510
1965-10-01  6.81609961785812
1966-01-01  6.86610034862293
1966-04-01  6.99810227784201
1966-07-01  7.02010259937853
1966-10-01  7.07610341783511
1967-01-01  7.11410397321636
1967-04-01  7.17610487936472
1967-07-01  7.13810432398346
1967-10-01  7.22610561012952
1968-01-01  7.32810710088972
1968-04-01  7.50210964395124
1968-07-01  7.54011019933249
1968-10-01  7.63011151470914
1969-01-01  7.78411376546474
1969-04-01  7.90611554853086
1969-07-01  7.92211578237560
1969-10-01  8.02211724390520
1970-01-01  8.17411946543021
1970-04-01  8.37012233002824
1970-07-01  8.46412370386607
1970-10-01  8.64012627615818
1971-01-01  8.87612972536806
1971-04-01  9.19413437303222
1971-07-01  9.32013621455952
1971-10-01  9.43613790993387
1972-01-01  9.58214004376710
1972-04-01  9.76214267452039
1972-07-01  9.92214501296777
1972-10-01 10.16414854986940
1973-01-01 10.34215115139210
1973-04-01 10.67215597443980
1973-07-01 10.83415834211780
1973-10-01 11.20816380823850
1974-01-01 11.67311860359120
1974-04-01 12.36744475122510
1974-07-01 12.67816529243150
1974-10-01 13.24590158994430
1975-01-01 14.04380125131370
1975-04-01 15.37107664955310
1975-07-01 16.04622251686560
1975-10-01 16.59861459012130
1976-01-01 17.19703933614840
1976-04-01 17.82615253068960
1976-07-01 18.23661052956710
1976-10-01 19.07670680764350
1977-01-01 20.03572082371240
1977-04-01 20.92952188668870
1977-07-01 21.25942270821640
1977-10-01 21.57014324942280
1978-01-01 21.93840463159320
1978-04-01 22.53682937762020
1978-07-01 22.92810709617640
1978-10-01 23.31554875866820
1979-01-01 24.04056335481640
1979-04-01 24.92285624959980
1979-07-01 26.59154063755980
1979-10-01 27.33957157009350
1980-01-01 28.62848640769020
1980-04-01 30.29333473958590
1980-07-01 30.94162821444850
1980-10-01 31.51703662408990
1981-01-01 32.26506755662360
1981-04-01 33.83785054297670
1981-07-01 34.42476712081090
1981-10-01 35.26869945495160
1982-01-01 35.85561603278580
1982-04-01 37.00259679600420
1982-07-01 37.17138326283240
1982-10-01 37.44374324339600
1983-01-01 37.63554604660980
1983-04-01 38.40275725946490
1983-07-01 38.89760849175650
1983-10-01 39.33491888308390
1984-01-01 39.57659041513330
1984-04-01 40.37832613256690
1984-07-01 40.73124329048030
1984-10-01 41.23760269096470
1985-01-01 41.75446918360760
1985-04-01 43.19219102936430
1985-07-01 43.29812842852530
1985-10-01 43.51000322684740
1986-01-01 43.81268151016460
1986-04-01 44.38777024846720
1986-07-01 44.43317199096480
1986-10-01 45.00826072926750
1987-01-01 45.55308163923850
1987-04-01 46.24924169086800
1987-07-01 46.35517909002900
1987-10-01 46.85459825750240
1988-01-01 47.00000000000000
1988-04-01 48.00000000000000
1988-07-01 48.50000000000000
1988-10-01 49.20000000000000
1989-01-01 49.80000000000000
1989-04-01 50.80000000000000
1989-07-01 51.20000000000000
1989-10-01 52.10000000000000
1990-01-01 52.80000000000000
1990-04-01 54.90000000000000
1990-07-01 55.70000000000000
1990-10-01 56.80000000000000
1991-01-01 57.20000000000000
1991-04-01 59.10000000000000
1991-07-01 59.80000000000000
1991-10-01 60.50000000000000
1992-01-01 60.80000000000000
1992-04-01 62.10000000000000
1992-07-01 62.10000000000000
1992-10-01 62.50000000000000
1993-01-01 62.70000000000000
1993-04-01 63.50000000000000
1993-07-01 63.70000000000000
1993-10-01 63.90000000000000
1994-01-01 64.20000000000000
1994-04-01 65.00000000000000
1994-07-01 65.00000000000000
1994-10-01 65.30000000000000
1995-01-01 65.70000000000000
1995-04-01 66.70000000000000
1995-07-01 66.90000000000000
1995-10-01 67.20000000000000
1996-01-01 67.70000000000000
1996-04-01 68.50000000000000
1996-07-01 68.70000000000000
1996-10-01 69.20000000000000
1997-01-01 69.30000000000000
1997-04-01 70.00000000000000
1997-07-01 70.20000000000000
1997-10-01 70.60000000000000
1998-01-01 70.60000000000000
1998-04-01 71.40000000000000
1998-07-01 71.40000000000000
1998-10-01 71.80000000000000
1999-01-01 72.00000000000000
1999-04-01 72.70000000000000
1999-07-01 72.60000000000000
1999-10-01 72.90000000000000
2000-01-01 72.80000000000000
2000-04-01 73.50000000000000
2000-07-01 73.50000000000000
2000-10-01 73.90000000000000
2001-01-01 73.70000000000000
2001-04-01 74.80000000000000
