Date,gdp.log,real.rate,interest.rate,inflation,inflation.expectations,core.inflation.q
1955-01-01,11.627984794705,,4.31831065529416,,,
1955-04-01,11.6286352417989,,4.66788472403135,3.1732660422329,,
1955-07-01,11.6486619246465,,4.66788472403135,8.06490467724174,,
1955-10-01,11.6434097197822,,4.66788472403135,7.30635127701329,,
1956-01-01,11.6550671821295,-0.00124139229057274,5.38122380772457,2.98533880357262,5.38246520001514,
1956-04-01,11.6528960812237,-0.602372430882436,5.73434990888551,6.99029460124411,6.33672233976794,
1956-07-01,11.6517304278474,1.190753575293,5.73434990888551,0.892400652540013,4.54359633359251,
1956-10-01,11.6564109013123,2.51055696076451,5.73434990888551,2.02713773512724,3.223792948121,
1957-01-01,11.6762170958574,1.6382372402031,5.38122380772457,5.0621132811745,3.74298656752147,
1957-04-01,11.6763190118787,2.89744483706534,5.19976961302411,1.22764743499333,2.30232477595877,
1957-07-01,11.6701599563875,1.86439566842924,5.91672364151494,7.89241344104773,4.0523279730857,
1957-10-01,11.6721404424245,2.96507933080114,7.35439979799275,3.37510771155088,4.38932046719161,
1958-01-01,11.693912798751,3.46075239692706,6.99587804940967,1.64533402233847,3.5351256524826,
1958-04-01,11.6698608353738,1.3330381834912,5.73434990888551,4.69239172664013,4.4013117253943,
1958-07-01,11.6918663136047,2.95076108434142,4.84842400450516,-2.12218177987452,1.89766292016374,
1958-10-01,11.6928942561806,2.32646259009192,4.31831065529416,3.75184829170487,1.99184806520224,
1959-01-01,11.6987076933932,2.03678301202909,4.13868168856417,2.08553646766984,2.10189867653508,
1959-04-01,11.714894408253,4.50619470075928,4.13868168856417,-5.18525502828061,-0.367513012195104,
1959-07-01,11.7361730108768,3.59962323521213,4.13868168856417,1.50410408231405,0.539058453352039,
1959-10-01,11.7611986065569,4.0966483836505,4.13868168856417,1.76374769795142,0.0420333049136761,
1960-01-01,11.7860013850326,5.62852729819883,5.19976961302411,0.202372507316228,-0.428757685174727,
1960-04-01,11.7786302973685,4.50893904876222,5.55228933937932,0.703176874886699,1.0433502906171,
1960-07-01,11.7936508960056,4.79101856125127,6.27163923329812,3.25318560803304,1.48062067204685,
1960-10-01,11.7999072923076,3.65839558626685,5.55228933937932,3.41684002221394,1.89389375311248,
1961-01-01,11.8159443253322,2.8252003709545,5.19976961302411,2.12507446314475,2.37456924206961,
1961-04-01,11.8203072182429,2.2921410506288,5.19976961302411,2.83541415618951,2.90762856239531,
1961-07-01,11.8152054672776,3.31349572167219,7.35439979799275,7.78628766373405,4.04090407632056,
1961-10-01,11.8134669989847,2.23887778059566,6.45493715082652,4.11746119785514,4.21605937023086,
1962-01-01,11.8178112021035,1.28812463707436,5.91672364151494,3.77523299998364,4.62859900444058,
1962-04-01,11.8274660953413,-0.742135057007083,4.66788472403135,5.96109726258089,5.41001978103843,
1962-07-01,11.8334207470683,0.914752842654019,4.66788472403135,1.15873606508964,3.75313188137733,
1962-10-01,11.829879890874,1.98929337400587,4.66788472403135,-0.180700927552258,2.67859135002548,
1963-01-01,11.8344508374011,1.03776693898128,4.13868168856417,5.46452659821329,3.10091474958289,
1963-04-01,11.8769016895704,2.65537253547359,4.13868168856417,-0.509325123388351,1.48330915309058,
1963-07-01,11.8816228488862,2.84861950436695,4.13868168856417,0.385748189516207,1.29006218419722,
1963-10-01,11.9042105095046,2.02811607147868,4.13868168856417,3.10131280400082,2.11056561708549,
1964-01-01,11.9100828257793,3.30164958038739,4.84842400450516,3.2093618263424,1.54677442411777,
1964-04-01,11.9276343837779,2.49554133536907,5.19976961302411,4.1204902907607,2.70422827765503,
1964-07-01,11.9316029045505,0.987366120402754,5.19976961302411,6.41844904938149,4.21240349262135,
1964-10-01,11.9465503388722,2.21775308400059,6.62774084000179,3.89164985752024,4.40998775600121,
1965-01-01,11.943817875068,2.90720899486086,7.35439979799275,3.35817401486512,4.44719080313189,
1965-04-01,11.9446234622482,1.9783796078563,6.99587804940967,6.4017208444466,5.01749844155336,
1965-07-01,11.952940136971,1.56127157997111,6.27163923329812,5.18992589647607,4.71036765332701,
1965-10-01,11.9590653567637,1.78219609475446,6.27163923329812,3.00795179838686,4.48944313854366,
1966-01-01,11.9607601694449,1.97760255068899,6.27163923329812,2.57654819112701,4.29403668260913,
1966-04-01,11.9666472616417,2.58240624885736,6.27163923329812,3.98250605177313,3.68923298444076,
1966-07-01,11.9697488653535,3.73901054502401,7.35439979799275,4.89455097058797,3.61538925296874,
1966-10-01,11.9655603775548,3.58639609649382,7.35439979799275,3.6184095925076,3.76800370149893,
1967-01-01,11.9790277438357,3.08870706592726,6.62774084000179,1.66066848142946,3.53903377407454,
1967-04-01,11.9930093671213,3.4640343181719,5.91672364151494,-0.362871751152878,2.45268932334304,
1967-07-01,11.9975775300864,4.04096419587242,5.73434990888551,1.85733652926816,1.69338571301309,
1967-10-01,12.0024865934315,5.56451125265629,7.71411957879566,5.44330004501277,2.14960832613938,
1968-01-01,12.0384584040084,5.29194375895431,8.2614412187066,4.9402250158811,2.96949745975229,
1968-04-01,12.0345248428596,3.51524750284235,7.89989862623934,5.29774290342596,4.384651123397,
1968-07-01,12.0541968761309,2.23695419264642,7.71411957879566,6.22739358027715,5.47716538614925,
1968-10-01,12.0580017794558,1.875798279563,7.35439979799275,5.44904457413479,5.47860151842975,
1969-01-01,12.0557205751753,2.03455011935756,8.08599721519285,7.23160732550327,6.05144709583529,
1969-04-01,12.0634832095598,3.25622743944629,8.44816165962681,1.85969140080685,5.19193422018052,
1969-07-01,12.0690322463943,3.51322227030211,8.44816165962681,5.19941425685388,4.9349393893247,
1969-10-01,12.0738775025834,3.40085858566409,8.44816165962681,5.89849931268688,5.04730307396272,
1970-01-01,12.0674597926987,3.33295450546794,8.2614412187066,6.75634188260703,4.92848671323866,
1970-04-01,12.0908918461182,1.51762941350673,7.35439979799275,5.49282608579631,5.83677038448602,5.49282608579631
1970-07-01,12.1008121248727,0.670892268071134,7.35439979799275,8.58636283859625,6.68350752992162,8.58636283859625
1970-10-01,12.1094516069257,-0.299687196707959,7.35439979799275,9.78081717180325,7.65408699470071,9.78081717180325
1971-01-01,12.1037242555303,-1.2253951666887,7.35439979799275,10.45917376253,8.57979496468145,10.45917376253
1971-04-01,12.1213531855456,-2.92976179392339,6.27163923329812,7.97925033595656,9.20140102722151,7.97925033595656
1971-07-01,12.1387997226547,-3.07810055156345,5.91672364151494,7.76005550202378,8.99482419307839,7.76005550202378
1971-10-01,12.1425416167017,-2.87473482879644,5.19976961302411,6.09953816677185,8.07450444182055,6.09953816677185
1972-01-01,12.1439791329217,-1.92078179445483,5.19976961302411,6.64336162516355,7.12055140747894,6.64336162516355
1972-04-01,12.1701449045877,-0.182073178045427,5.55228933937932,2.43449477573982,5.73436251742475,2.43449477573982
1972-07-01,12.1729656057325,0.215706126446745,6.27163923329812,9.04633785973027,6.05593310685138,9.04633785973027
1972-10-01,12.188529663312,0.97123542800866,8.44816165962681,11.7835106658389,7.47692623161815,11.7835106658389
1973-01-01,12.2370963936318,1.75292130886353,9.18719223722071,6.47274041211967,7.43427092835718,6.47274041211967
1973-04-01,12.2383800939648,-0.0312357414016748,8.2614412187066,5.86811890274422,8.29267696010828,5.86811890274422
1973-07-01,12.2288512324195,3.69351661415797,12.3645828951577,10.5598951432962,8.67106628099976,10.5598951432962
1973-10-01,12.2245312327541,4.78039719592928,13.4172469142735,11.6466444152169,8.63684971834425,11.6466444152169
1974-01-01,12.1967644584585,3.30408536328425,13.6013202418207,13.1142810528885,10.2972348785365,13.1142810528885
1974-04-01,12.2110552119045,0.0211081714311874,12.7410435145616,15.55892076112,12.7199353431304,15.55892076112
1974-07-01,12.2174526469864,-1.03519134994873,12.5583603305854,14.0543604929113,13.5935516805342,14.0543604929113
1974-10-01,12.2028976104365,-2.61117301441257,12.3645828951577,17.1754613313614,14.9757559095703,17.1754613313614
1975-01-01,12.2034792856776,-5.11464037971443,10.9647740938777,17.5289153089756,16.0794144735921,17.5289153089756
1975-04-01,12.1869204066856,-9.18060623084463,10.6252844929411,30.4648257618945,19.8058907237857,30.4648257618945
1975-07-01,12.1834946705169,-10.5324001473306,11.4658453552244,22.8237796079886,21.998245502555,22.8237796079886
1975-10-01,12.19489541234,-8.84865118877188,12.6363070755311,15.1223123783534,21.484958264303,15.1223123783534
1976-01-01,12.2105973934016,-9.49130139979052,10.4633738773142,11.4077833601826,19.9546752771048,11.4077833601826
1976-04-01,12.2089435206219,-3.08160879596585,11.3133130382897,8.22581199049758,14.3949218342555,8.22581199049758
1976-07-01,12.2213848136318,0.87736773948197,12.7331592049611,12.6672581328831,11.8557914654792,12.6672581328831
1976-10-01,12.2423756447545,4.03639670747787,16.0953098470256,15.9347990746276,12.0589131395477,15.9347990746276
1977-01-01,12.2426600869724,-0.885569974278559,13.1992755954918,19.5115130810732,14.0848455697704,19.5115130810732
1977-04-01,12.2356896985023,-6.32275939813299,8.87696217345204,12.6853159977562,15.199721571585,12.6853159977562
1977-07-01,12.2426311643405,-7.21415072692296,7.62265884969189,11.2156101530024,14.8368095766148,11.2156101530024
1977-10-01,12.2596418480729,-7.35939020390169,6.10930664669684,10.4623481705623,13.4686968505985,10.4623481705623
1978-01-01,12.2685214848027,-3.60528665571381,6.84663000477539,7.44439232063584,10.4519166604892,7.44439232063584
1978-04-01,12.2801034718511,0.250580724512625,9.0738070368962,6.17055460533375,8.82322631238357,6.17055460533375
1978-07-01,12.2937583784241,1.94056040728262,10.6691362702114,10.8370083551831,8.72857586292873,10.8370083551831
1978-10-01,12.3027863853377,3.51278431560637,12.2381234345281,10.4494011945344,8.72533911892176,10.4494011945344
1979-01-01,12.2992305107664,4.63331157013992,14.1129917614661,10.4617566102534,9.47968019132616,10.4617566102534
1979-04-01,12.3424549703827,3.32813282101447,13.4809486144341,8.86309701370771,10.1528157934197,8.86309701370771
1979-07-01,12.3200082894577,0.81912994071241,15.2480817258979,27.9415523222464,14.4289517851855,27.9415523222464
1979-10-01,12.3305311285049,1.82767218262683,16.9578756069854,13.2544077512269,15.1302034243586,13.2544077512269
1980-01-01,12.3209938121654,1.18884701900378,18.8058458884393,20.4089383905612,17.6169988694356,20.4089383905612
1980-04-01,12.3007871934356,-0.895525297352734,18.8058458884393,17.2005862791338,19.7013711857921,17.2005862791338
1980-07-01,12.2997997547574,2.19274547027381,17.6446344879568,10.94362364981,15.451889017683,10.94362364981
1980-10-01,12.2887856309904,2.26786056608654,16.68048507499,9.09734971610895,14.4126245089035,9.09734971610895
1981-01-01,12.2875282008182,3.17858575558638,14.693200696609,8.81690011903784,11.5146149410226,8.81690011903784
1981-04-01,12.2895724474842,2.42239707398635,12.935468388925,13.1944117747978,10.5130713149386,13.1944117747978
1981-07-01,12.3002867703402,3.65929330608816,13.5384717562243,8.40805219059995,9.87917845013613,8.40805219059995
1981-10-01,12.3015373588481,5.59868341402048,15.9643107844455,11.0431453972645,10.365627370425,11.0431453972645
1982-01-01,12.3034806234166,4.82193165804167,14.9865051516851,8.01268461191142,10.1645734936434,8.01268461191142
1982-04-01,12.314083645549,5.55969404729512,14.0882440423514,6.65031778044915,8.52854999505625,6.65031778044915
1982-07-01,12.3166699253718,4.61711578815451,12.1982004070929,4.61819068612834,7.58108461893834,4.61819068612834
1982-10-01,12.3236734423598,4.85827879946859,10.306060012502,2.50993177364467,5.4477812130334,2.50993177364467
1983-01-01,12.3418178358952,7.32728142088015,11.5865735525581,3.25872828648953,4.25929213167793,3.25872828648953
