rstar,g,z,output gap
1972-01-01,2.54008823384883,2.57473951295248,-0.0346512791036548,-1.57153434781117
1972-04-01,2.53057162319048,2.5736150819358,-0.0430434587453152,-1.11854343455002
1972-07-01,2.52233374457861,2.57458369141951,-0.052249946840893,-0.456003245872353
1972-10-01,2.50870572376823,2.57506987309875,-0.0663641493305215,0.348113238426549
1973-01-01,2.48888744380989,2.57526213228552,-0.0863746884756284,1.25358606965597
1973-04-01,2.46357926559892,2.57350287976579,-0.109923614166873,1.95474443426497
1973-07-01,2.43712140450759,2.57236130282212,-0.135239898314535,2.54629641459837
1973-10-01,2.40798015817943,2.57048409853934,-0.162503940359919,2.90192244993136
1974-01-01,2.37863104308286,2.56817418881893,-0.189543145736067,2.9638275236216
1974-04-01,2.35251329460159,2.56465685688555,-0.212143562283964,2.60598631174412
1974-07-01,2.33474719852339,2.56199287031574,-0.227245671792347,2.00408488479115
1974-10-01,2.32950924377387,2.55680426694363,-0.22729502316976,0.763312435727812
1975-01-01,2.34425097697943,2.55729521410284,-0.213044237123407,-0.263433548903549
1975-04-01,2.36159594630209,2.56053537516081,-0.198939428858722,-0.64725556542885
1975-07-01,2.37205309079056,2.56223758918466,-0.190184498394109,-0.574834205996467
1975-10-01,2.37733680594283,2.56287068493428,-0.185533878991452,-0.196651348476507
1976-01-01,2.37785329642955,2.56314262822552,-0.18528933179597,0.399378822187373
1976-04-01,2.37395984774611,2.5613897648205,-0.187429917074387,0.917833897904984
1976-07-01,2.37064959463371,2.55909198009778,-0.188442385464065,1.29470282094371
1976-10-01,2.36799924492574,2.55767728218877,-0.189678037263031,1.64995207862262
1977-01-01,2.36571327147307,2.55340993942083,-0.187696667947759,1.6013501124753
1977-04-01,2.3722124957384,2.5503779980456,-0.178165502307203,1.34011524992616
1977-07-01,2.3839670121805,2.54873192467679,-0.16476491249629,1.09650003202864
1977-10-01,2.39425253070803,2.54853136654864,-0.154278835840608,1.19002647009825
1978-01-01,2.39804772312529,2.54585337553781,-0.147805652412515,1.3018165090707
1978-04-01,2.39981927880482,2.54360162547732,-0.143782346672499,1.51436942957071
1978-07-01,2.39816890519613,2.53983091852874,-0.141662013332602,1.64392076691092
1978-10-01,2.3946876975644,2.53740496901858,-0.142717271454181,1.90028739025979
1979-01-01,2.38503079481469,2.53330679788416,-0.148276003069471,2.05774224552124
1979-04-01,2.37061214694357,2.53034999504608,-0.159737848102509,2.4076550148643
1979-07-01,2.34880373404495,2.5241657757598,-0.175362041714858,2.53412310765884
1979-10-01,2.32675945113206,2.51916271512303,-0.192403263990971,2.6111567834505
1980-01-01,2.30150107000776,2.51287760089437,-0.211376530886608,2.47660784915161
1980-04-01,2.27910223288313,2.50458105843869,-0.225478825555555,1.87328249863003
1980-07-01,2.26520751039024,2.49901743901942,-0.233809928629178,1.23809005167936
1980-10-01,2.25300390903627,2.49375031355106,-0.240746404514792,0.657723101721331
1981-01-01,2.24165715260362,2.48850169439152,-0.246844541787895,0.160709677698833
1981-04-01,2.23054598586015,2.48340064798373,-0.252854662123583,-0.23641029385999
1981-07-01,2.21883013880957,2.47791226104653,-0.259082122236956,-0.627121618799947
1981-10-01,2.20714456265131,2.47220120293184,-0.265056640280536,-1.0536245511646
1982-01-01,2.19574196915229,2.46629725583836,-0.27055528668607,-1.4836802050595
1982-04-01,2.18633155195317,2.45939735176002,-0.273065799806844,-2.02860768018786
1982-07-01,2.18366120714693,2.45248070287824,-0.268819495731318,-2.71841653980414
1982-10-01,2.18747569733372,2.44803999970291,-0.260564302369187,-3.19766282646856
1983-01-01,2.19005300192389,2.4439762246061,-0.253923222682208,-3.38500522229992
1983-04-01,2.19003344530134,2.43865025662933,-0.248616811327982,-3.46232640645394
