"dates","y*(t)","y*(t-1)","y*(t-2)","g(t-1)"
1972-01-01,1394.1452371386,1393.19603074423,1392.72322123053,0.643827136416672
1972-04-01,1394.36561715706,1394.1452371386,1393.19603074423,0.644071767148622
1972-07-01,1395.06615092291,1394.36561715706,1394.1452371386,0.644285317262341
1972-10-01,1395.72288289237,1395.06615092291,1394.36561715706,0.644413356912144
1973-01-01,1396.73116831502,1395.72288289237,1395.06615092291,0.644010521794684
1973-04-01,1397.24603054864,1396.73116831502,1395.72288289237,0.643673021076256
1973-07-01,1398.02932175616,1397.24603054864,1396.73116831502,0.643155028582203
1973-10-01,1398.77098847394,1398.02932175616,1397.24603054864,0.642470686263152
1974-01-01,1399.70293941758,1398.77098847394,1398.02932175616,0.641416428658701
1974-04-01,1400.25230131428,1399.70293941758,1398.77098847394,0.640499118808634
1974-07-01,1401.54338255805,1400.25230131428,1399.70293941758,0.638879273014949
1974-10-01,1401.19787216573,1401.54338255805,1400.25230131428,0.638596874129878
1975-01-01,1401.29854107543,1401.19787216573,1401.54338255805,0.63930954662572
1975-04-01,1402.20045660736,1401.29854107543,1401.19787216573,0.63977083402034
1975-07-01,1403.01830827914,1402.20045660736,1401.29854107543,0.639917872971235
1975-10-01,1403.69357893018,1403.01830827914,1402.20045660736,0.639951763450357
1976-01-01,1404.71773467497,1403.69357893018,1403.01830827914,0.639449890319744
1976-04-01,1405.47994148617,1404.71773467497,1403.69357893018,0.638719341475396
1976-07-01,1405.94434272571,1405.47994148617,1404.71773467497,0.638212253796924
1976-10-01,1407.18033830734,1405.94434272571,1405.47994148617,0.636982079278318
1977-01-01,1407.64166625884,1407.18033830734,1405.94434272571,0.635939530358161
1977-04-01,1408.03884457751,1407.64166625884,1407.18033830734,0.635319468527925
1977-07-01,1408.35800552372,1408.03884457751,1407.64166625884,0.635184640884923
1977-10-01,1409.44259136912,1408.35800552372,1408.03884457751,0.634505470031026
1978-01-01,1409.96023337654,1409.44259136912,1408.35800552372,0.633868646094293
1978-04-01,1410.86816529845,1409.96023337654,1409.44259136912,0.632875521354844
1978-07-01,1411.19512234795,1410.86816529845,1409.96023337654,0.632206930517315
1978-10-01,1412.10713432671,1411.19512234795,1410.86816529845,0.631191620431988
1979-01-01,1412.44351884859,1412.10713432671,1411.19512234795,0.630452223707244
1979-04-01,1413.66648112024,1412.44351884859,1412.10713432671,0.628939501034907
1979-07-01,1414.04282190198,1413.66648112024,1412.44351884859,0.627611764991821
1979-10-01,1414.90402964833,1414.04282190198,1413.66648112024,0.626010258588917
1980-01-01,1415.97019333893,1414.90402964833,1414.04282190198,0.623805601641241
1980-04-01,1416.099936922,1415.97019333893,1414.90402964833,0.622224594876444
1980-07-01,1416.67359719431,1416.099936922,1415.97019333893,0.620844765798965
1980-10-01,1417.29712614895,1416.67359719431,1416.099936922,0.619490023247392
1981-01-01,1417.89022950865,1417.29712614895,1416.67359719431,0.618183535775601
1981-04-01,1418.58617172593,1417.89022950865,1417.29712614895,0.616792999389597
1981-07-01,1419.24971629393,1418.58617172593,1417.89022950865,0.615339285531585
1981-10-01,1419.90261871979,1419.24971629393,1418.58617172593,0.613845762216829
1982-01-01,1420.73314846461,1419.90261871979,1419.24971629393,0.612092295410214
1982-04-01,1421.4036420296,1420.73314846461,1419.90261871979,0.610279212457821
1982-07-01,1421.55366392144,1421.4036420296,1420.73314846461,0.609123219764915
1982-10-01,1422.06773576921,1421.55366392144,1421.4036420296,0.608204893857513
1983-01-01,1422.90781263327,1422.06773576921,1421.55366392144,0.60699760980194
1983-04-01,1423.62855029779,1422.90781263327,1422.06773576921,0.605606174708444
1983-07-01,1423.95911641428,1423.62855029779,1422.90781263327,0.604568092006154
1983-10-01,1424.93632483031,1423.95911641428,1423.62855029779,0.603106315588526
1984-01-01,1425.79820431279,1424.93632483031,1423.95911641428,0.601281092906047
1984-04-01,1425.63553022034,1425.79820431279,1424.93632483031,0.600467637093704
1984-07-01,1426.67661663485,1425.63553022034,1425.79820431279,0.599251620747042
1984-10-01,1427.25235187431,1426.67661663485,1425.63553022034,0.598013030141504
1985-01-01,1427.57854370039,1427.25235187431,1426.67661663485,0.597172838600949
1985-04-01,1428.44338211927,1427.57854370039,1427.25235187431,0.596055253704351
1985-07-01,1429.20161163882,1428.44338211927,1427.57854370039,0.594706828508358
1985-10-01,1429.83219226057,1429.20161163882,1428.44338211927,0.593340259411924
1986-01-01,1429.65507095299,1429.83219226057,1429.20161163882,0.59301358775465
1986-04-01,1431.18122201671,1429.65507095299,1429.83219226057,0.591614967713708
1986-07-01,1431.68038539338,1431.18122201671,1429.65507095299,0.590201211738228
1986-10-01,1432.11920145482,1431.68038539338,1431.18122201671,0.589085601770354
1987-01-01,1431.9000705056,1432.11920145482,1431.68038539338,0.589087029487766
1987-04-01,1433.25169642601,1431.9000705056,1432.11920145482,0.588208735557379
1987-07-01,1433.96106650157,1433.25169642601,1431.9000705056,0.586993463430622
1987-10-01,1434.86375005219,1433.96106650157,1433.25169642601,0.585347257539222
1988-01-01,1435.22273765252,1434.86375005219,1433.96106650157,0.583951492269891
1988-04-01,1435.86407947774,1435.22273765252,1434.86375005219,0.5825185253788
1988-07-01,1436.70788434368,1435.86407947774,1435.22273765252,0.580711689758196
1988-10-01,1437.2794183501,1436.70788434368,1435.86407947774,0.578849287681347
1989-01-01,1438.07886229606,1437.2794183501,1436.70788434368,0.576681791648501
1989-04-01,1438.75056496231,1438.07886229606,1437.2794183501,0.574332814892755
1989-07-01,1439.16424838745,1438.75056496231,1438.07886229606,0.572151176095623
1989-10-01,1439.90588356781,1439.16424838745,1438.75056496231,0.569722690051173
1990-01-01,1440.91666539846,1439.90588356781,1439.16424838745,0.566628059628905
1990-04-01,1441.27001800162,1440.91666539846,1439.90588356781,0.563688226410277
1990-07-01,1442.07587039219,1441.27001800162,1440.91666539846,0.56042773289409
1990-10-01,1442.62505520917,1442.07587039219,1441.27001800162,0.557089235918637
1991-01-01,1443.34936829829,1442.62505520917,1442.07587039219,0.55349798400641
1991-04-01,1443.82888875822,1443.34936829829,1442.62505520917,0.549943136794239
1991-07-01,1444.02362748852,1443.82888875822,1443.34936829829,0.546819429273991
1991-10-01,1444.90931285422,1444.02362748852,1443.82888875822,0.543239249897941
1992-01-01,1446.31930837632,1444.90931285422,1444.02362748852,0.538425586608194
1992-04-01,1446.11901767533,1446.31930837632,1444.90931285422,0.534460908091481
1992-07-01,1446.50796559193,1446.11901767533,1446.31930837632,0.530875891322294
1992-10-01,1447.01915185975,1446.50796559193,1446.11901767533,0.527368475734968
1993-01-01,1447.11050246181,1447.01915185975,1446.50796559193,0.524447918041979
1993-04-01,1447.68007890087,1447.11050246181,1447.01915185975,0.521532223190151
1993-07-01,1448.33313443417,1447.68007890087,1447.11050246181,0.518402432570979
1993-10-01,1448.67956796562,1448.33313443417,1447.68007890087,0.515442936363047
1994-01-01,1449.4311637468,1448.67956796562,1448.33313443417,0.512178405893075
1994-04-01,1449.86354821393,1449.4311637468,1448.67956796562,0.508958204532319
1994-07-01,1450.32355186515,1449.86354821393,1449.4311637468,0.505815117947496
1994-10-01,1450.89530103649,1450.32355186515,1449.86354821393,0.502601071622239
1995-01-01,1451.31783022788,1450.89530103649,1450.32355186515,0.499499873533209
1995-04-01,1451.82571364158,1451.31783022788,1450.89530103649,0.496437331805041
1995-07-01,1452.14850712109,1451.82571364158,1451.31783022788,0.493641154763624
1995-10-01,1452.61635064342,1452.14850712109,1451.82571364158,0.490950893280231
1996-01-01,1452.87701455029,1452.61635064342,1452.14850712109,0.48859240996542
1996-04-01,1453.60386203589,1452.87701455029,1452.61635064342,0.485981912308541
1996-07-01,1454.0779126959,1453.60386203589,1452.87701455029,0.483367532711449
1996-10-01,1454.49056330677,1454.0779126959,1453.60386203589,0.480882265720782
1997-01-01,1454.64035402181,1454.49056330677,1454.0779126959,0.478855188788783
