rstar,g,z,output gap
1972-01-01,3.42079557691518,3.40549687791158,0.0152986990036,-1.94292097442553
1972-04-01,2.47023726258594,2.48607202696885,-0.015834764382904,-1.29381407195319
1972-07-01,2.64725840067795,2.64282143684143,0.00443696383652933,-0.689913228626892
1972-10-01,2.8141890860314,2.79482407419989,0.0193650118315151,-0.0898416132604325
1973-01-01,3.38262067353981,3.3418459019256,0.0407747716142032,0.198935116485018
1973-04-01,3.05477076035382,3.01131491462372,0.043455845730101,1.23785766228025
1973-07-01,3.13755352348021,3.08443415993617,0.0531193635440444,1.69830499066848
1973-10-01,3.06050961399088,2.98220354616725,0.0783060678236297,2.30432202089423
1974-01-01,3.0511200069703,2.93168239698134,0.11943760998896,2.7331265966377
1974-04-01,2.7659420264404,2.655427895676,0.110514130764392,3.00166465594634
1974-07-01,2.86940657428366,2.73804286877279,0.131363705510868,2.76941070301177
1974-10-01,2.03387527069179,1.97604583391915,0.0578294367726463,3.07000520362112
1975-01-01,1.84024176803483,2.02327376258703,-0.183031994552198,1.24743928424709
1975-04-01,2.08631290627622,2.20282553712271,-0.116512630846487,0.600972600765772
1975-07-01,2.24433843591469,2.38297615502211,-0.13863771910742,0.166584022518009
1975-10-01,2.32118846315993,2.46451055538162,-0.143322092221693,0.258315533347513
1976-01-01,2.53314409026763,2.57757817448436,-0.0444340842167237,0.810299209326331
1976-04-01,2.5885024398363,2.55829777924248,0.0302046605938246,1.58997964663649
1976-07-01,2.46913451689961,2.56489625504876,-0.0957617381491581,1.66918602296687
1976-10-01,2.71489285128236,2.64527653717641,0.0696163141059531,2.3087958254323
1977-01-01,2.53620252228558,2.55279771363426,-0.0165951913486828,2.5069591327624
1977-04-01,2.3961187132444,2.46774915695614,-0.0716304437117371,2.44790152861492
1977-07-01,2.30649817376911,2.41846457876461,-0.111966404995493,2.17120420786864
1977-10-01,2.40907657024296,2.61341412496694,-0.204337554723981,1.53283011008398
1978-01-01,2.31386666409181,2.63935482576845,-0.325488161676631,1.2890723879907
1978-04-01,2.44937051878417,2.69641792052386,-0.247047401739699,1.44936620659041
1978-07-01,2.3584458198236,2.65014823504161,-0.291702415218001,1.51589397482849
1978-10-01,2.44025854211514,2.7501306571582,-0.309872115043053,1.36628929391372
1979-01-01,2.45940769713586,2.69397006930447,-0.234562372168609,1.60923379650444
1979-04-01,2.69737443463608,2.82347264050146,-0.126098205865373,1.69459746070947
1979-07-01,2.74385734103141,2.73141826649662,0.0124390745347875,2.21817302568547
1979-10-01,2.85830843474076,2.76653206003255,0.0917763747082055,2.27388449363161
1980-01-01,3.06623578355886,2.77765150841013,0.288584275148727,2.54768933830064
1980-04-01,2.75030841684374,2.67101710686099,0.0792913099827483,2.05255979408344
1980-07-01,2.68588034090892,2.65424498063027,0.0316353602786435,1.42705469825319
1980-10-01,2.65123148017313,2.64769902850111,0.00353245167201773,0.844807642276464
1981-01-01,2.72803192202707,2.61410493512988,0.113926986897187,0.593874475437133
1981-04-01,2.67470800817153,2.63600637874879,0.0387016294227338,0.030955894721501
1981-07-01,2.71107007767452,2.62876477191686,0.0823053057576552,-0.273185270949625
1981-10-01,2.70247765474376,2.62808111524542,0.0743965394983422,-0.694790292759535
1982-01-01,2.54776278086244,2.6791468301748,-0.131384049312356,-1.45222657264094
1982-04-01,2.48784180820114,2.65236645319242,-0.164524644991275,-1.79086601695872
1982-07-01,2.25540093020772,2.5616489728191,-0.306248042611377,-2.33209943217412
1982-10-01,2.16335290017078,2.56237312967262,-0.399020229501839,-2.98401388344496
1983-01-01,2.13824461771391,2.61882295545778,-0.480578337743866,-3.46472245984455
1983-04-01,2.09938871758557,2.63296968519881,-0.533580967613248,-3.61120070737684
1983-07-01,2.08594662305797,2.5727365668133,-0.486789943755327,-3.48761652765825
1983-10-01,2.16271998732916,2.62929553525958,-0.466575547930422,-3.50257287251543
1984-01-01,2.08734656165446,2.6454947416332,-0.558148179978735,-3.48763724389869
1984-04-01,1.7454379187457,2.51754739149147,-0.772109472745766,-3.66110401561036
1984-07-01,1.79737712631926,2.59307914850823,-0.795702022188974,-3.91368593047241
1984-10-01,1.78066361490663,2.56365889397217,-0.782995279065537,-3.79589550233413
1985-01-01,1.7558825486103,2.50448077363497,-0.74859822502467,-3.69167019526981
1985-04-01,1.82568173558484,2.54376647293444,-0.718084737349593,-3.68690239790158
1985-07-01,1.57963973270672,2.58203907294347,-1.00239934023676,-3.95688862831844
1985-10-01,1.55373369583315,2.55454645555647,-1.00081275972332,-3.77135724540176
1986-01-01,1.16838740738762,2.45876719434114,-1.29037978695353,-4.08092813829194
1986-04-01,1.2981039330661,2.62042916727206,-1.32232523420595,-4.28961200946333
1986-07-01,1.24763062225209,2.56447351592005,-1.31684289366796,-3.95140239356647
1986-10-01,1.13421026801672,2.51212430813851,-1.37791404012179,-3.9240665594275
1987-01-01,1.10915276309952,2.38379362878395,-1.27464086568443,-3.86412660853603
1987-04-01,1.43042683492932,2.52830912163299,-1.09788228670367,-3.95236660351361
1987-07-01,1.55939040823095,2.54491788691348,-0.985527478682526,-3.6010748463907
1987-10-01,1.63272492256976,2.58865943970696,-0.955934517137206,-3.33670885731431
1988-01-01,1.57605239755828,2.5486051209682,-0.972552723409925,-3.09187242526264
1988-04-01,1.65109913485084,2.56437066817583,-0.913271533324988,-2.92021837348557
1988-07-01,1.84028932470081,2.60039612417432,-0.760106799473504,-2.56394364782818
1988-10-01,1.93272564812161,2.59535980555615,-0.662634157434547,-2.19679594891068
