"dates","trend.smoothed"
1972-01-01,13.9428810368247
1972-04-01,13.9462847055714
1972-07-01,13.9533224010713
1972-10-01,13.9596320795693
1973-01-01,13.968690008335
1973-04-01,13.9736751885959
1973-07-01,13.9807433504733
1973-10-01,13.9870050748903
1974-01-01,13.9943942624014
1974-04-01,13.9983549772417
1974-07-01,14.0087070659463
1974-10-01,14.0064438977521
1975-01-01,14.008096350192
1975-04-01,14.0157585821102
1975-07-01,14.0226380314571
1975-10-01,14.0285243723634
1976-01-01,14.037179491458
1976-04-01,14.0437802654011
1976-07-01,14.0479374772339
1976-10-01,14.058108394073
1977-01-01,14.0621767547738
1977-04-01,14.0660896886687
1977-07-01,14.0690904786013
1977-10-01,14.0781583166014
1978-01-01,14.0826149384885
1978-04-01,14.0904790531278
1978-07-01,14.0937719921211
1978-10-01,14.1018415357818
1979-01-01,14.1048116778715
1979-04-01,14.1149980137205
1979-07-01,14.1183549083065
1979-10-01,14.1254570320031
1980-01-01,14.1340951596548
1980-04-01,14.1354217272159
1980-07-01,14.1404704461043
1980-10-01,14.1457979526276
1981-01-01,14.1509277399852
1981-04-01,14.1569200433527
1981-07-01,14.1625136564832
1981-10-01,14.1677510625149
1982-01-01,14.1744015892139
1982-04-01,14.1801671625328
1982-07-01,14.1820655390233
1982-10-01,14.1868162783628
1983-01-01,14.1939857521205
1983-04-01,14.2003489536709
1983-07-01,14.2036259244859
1983-10-01,14.2119459696895
1984-01-01,14.2194888349828
1984-04-01,14.2189244176027
1984-07-01,14.2280210492181
1984-10-01,14.2332337292354
1985-01-01,14.2364553149439
1985-04-01,14.2438274060477
1985-07-01,14.2502856269975
1985-10-01,14.2561296248426
1986-01-01,14.2553544264796
1986-04-01,14.2680321906578
1986-07-01,14.2723374710925
1986-10-01,14.2768554035753
1987-01-01,14.2758229210394
1987-04-01,14.286898031547
1987-07-01,14.2923697019113
1987-10-01,14.2997460807349
1988-01-01,14.302916876979
1988-04-01,14.3083931841581
1988-07-01,14.3154637354471
1988-10-01,14.3203271913037
1989-01-01,14.3270549986043
1989-04-01,14.3328051617999
1989-07-01,14.3364961406349
1989-10-01,14.3426650823008
1990-01-01,14.3509297572462
1990-04-01,14.3539280736231
1990-07-01,14.3607244619522
1990-10-01,14.3654608725422
1991-01-01,14.3717737181438
1991-04-01,14.3762873882258
1991-07-01,14.3784525521611
1991-10-01,14.3857805467632
1992-01-01,14.3974845538464
1992-04-01,14.3967990031468
1992-07-01,14.4012761574521
1992-10-01,14.406576190085
1993-01-01,14.4083190617061
1993-04-01,14.4137637587049
1993-07-01,14.4198745840994
1993-10-01,14.4237024585833
1994-01-01,14.4310252991873
1994-04-01,14.435911290681
1994-07-01,14.4411437228173
1994-10-01,14.4472876275156
1995-01-01,14.4522051843181
1995-04-01,14.4578277790159
1995-07-01,14.4618770592742
1995-10-01,14.4670748090266
1996-01-01,14.4704044669345
1996-04-01,14.4773834453662
1996-07-01,14.4824183606454
1996-10-01,14.487239138154
1997-01-01,14.4898167566108
1997-04-01,14.4983094548287
1997-07-01,14.5026485362522
1997-10-01,14.5096954697087
1998-01-01,14.5144885625164
1998-04-01,14.5187835554585
1998-07-01,14.5244505196913
1998-10-01,14.5270288625306
1999-01-01,14.5341886412541
1999-04-01,14.5377637949232
1999-07-01,14.5442532198313
1999-10-01,14.5502064987176
2000-01-01,14.5567334864638
2000-04-01,14.5618821467433
2000-07-01,14.5660268010845
2000-10-01,14.570951985583
2001-01-01,14.5786789943537
2001-04-01,14.5817439794522
2001-07-01,14.5861773730979
2001-10-01,14.5907712175473
2002-01-01,14.5943017943738
2002-04-01,14.6007973171386
2002-07-01,14.6063189821559
2002-10-01,14.6113386088422
2003-01-01,14.6132811970447
2003-04-01,14.6175602573746
2003-07-01,14.6233625594045
2003-10-01,14.6296098234659
2004-01-01,14.6343012797958
2004-04-01,14.6399506006779
2004-07-01,14.6438508414749
2004-10-01,14.6487790306114
2005-01-01,14.6524270281875
2005-04-01,14.6577979897384
2005-07-01,14.6633591806411
2005-10-01,14.6676655977095
2006-01-01,14.6731910327604
2006-04-01,14.6797381253582
2006-07-01,14.6829843224571
2006-10-01,14.6904159136846
2007-01-01,14.694563972205
2007-04-01,14.6999686019052
2007-07-01,14.7042344082643
2007-10-01,14.7099292364446
2008-01-01,14.7164790948098
2008-04-01,14.7201417776246
2008-07-01,14.7260505154216
2008-10-01,14.727768417784
2009-01-01,14.7197615756286
2009-04-01,14.7285262281544
2009-07-01,14.7351520240052
2009-10-01,14.7408514952363
2010-01-01,14.7445073228432
2010-04-01,14.7518459456979
2010-07-01,14.7554917367751
2010-10-01,14.760585305839
2011-01-01,14.767757106834
2011-04-01,14.7707740550052
2011-07-01,14.7758804421272
2011-10-01,14.7788856604774
2012-01-01,14.7833001055936
2012-04-01,14.7870089367146
2012-07-01,14.7922695769405
2012-10-01,14.795427834435
2013-01-01,14.7977664737147
2013-04-01,14.8048892177345
2013-07-01,14.8096863853793
2013-10-01,14.8139001711269
2014-01-01,14.8194152693225
2014-04-01,14.8230825648159
2014-07-01,14.8282990010368
2014-10-01,14.8327129188722
2015-01-01,14.8389321675869
2015-04-01,14.8432077466789
2015-07-01,14.8480062014491
2015-10-01,14.8526148926844
2016-01-01,14.8584312175196
2016-04-01,14.8621371544356
2016-07-01,14.8665894831056
2016-10-01,14.872554024876
2017-01-01,14.8775320670243
2017-04-01,14.8826480912555
2017-07-01,14.8881396100784
2017-10-01,14.8944092934322
2018-01-01,14.8980866505188
2018-04-01,14.9031173758972
