"dates","y*(t)","y*(t-1)","y*(t-2)","g(t-1)"
1961-01-01,1181.75823458974,1179.83715007373,1178.91329939143,0.707456896516214
1961-04-01,1182.5200959024,1181.75823458974,1179.83715007373,0.706454360505304
1961-07-01,1182.31439040331,1182.5200959024,1181.75823458974,0.706036234551347
1961-10-01,1182.38241747508,1182.31439040331,1182.5200959024,0.706057344397151
1962-01-01,1182.96255565369,1182.38241747508,1182.31439040331,0.70619052288451
1962-04-01,1183.9525366782,1182.96255565369,1182.38241747508,0.706171494525288
1962-07-01,1184.43823306006,1183.9525366782,1182.96255565369,0.706264914765368
1962-10-01,1183.84633361884,1184.43823306006,1183.9525366782,0.707067544208309
1963-01-01,1183.95337704626,1183.84633361884,1184.43823306006,0.70816717382315
1963-04-01,1187.7592304827,1183.95337704626,1183.84633361884,0.707432081401267
1963-07-01,1187.80216459801,1187.7592304827,1183.95337704626,0.70695521176436
1963-10-01,1189.6827645688,1187.80216459801,1187.7592304827,0.705810434544613
1964-01-01,1189.99479314456,1189.6827645688,1187.80216459801,0.704875922522154
1964-04-01,1191.59694944033,1189.99479314456,1189.6827645688,0.703475499287551
1964-07-01,1191.98859252899,1191.59694944033,1189.99479314456,0.702290207913049
1964-10-01,1193.60189229015,1191.98859252899,1191.59694944033,0.700666425395762
1965-01-01,1193.5646379827,1193.60189229015,1191.98859252899,0.699520717331414
1965-04-01,1193.96368254191,1193.5646379827,1193.60189229015,0.698630788137232
1965-07-01,1195.14909946887,1193.96368254191,1193.5646379827,0.69751952202099
1965-10-01,1196.10980616431,1195.14909946887,1193.96368254191,0.696283387249803
1966-01-01,1196.58603027102,1196.10980616431,1195.14909946887,0.695188408525259
1966-04-01,1197.40502325598,1196.58603027102,1196.10980616431,0.694028855676417
1966-07-01,1197.84908486494,1197.40502325598,1196.58603027102,0.692988656015354
1966-10-01,1197.45504275225,1197.84908486494,1197.40502325598,0.692523061912365
1967-01-01,1198.70039143276,1197.45504275225,1197.84908486494,0.691678522667432
1967-04-01,1199.89004386167,1198.70039143276,1197.45504275225,0.690433963353931
1967-07-01,1200.06714625097,1199.89004386167,1198.70039143276,0.68937157649478
1967-10-01,1200.23881400458,1200.06714625097,1199.89004386167,0.688519407552865
1968-01-01,1203.51542400188,1200.23881400458,1200.06714625097,0.686126221343544
1968-04-01,1202.88491229673,1203.51542400188,1200.23881400458,0.684392760326943
1968-07-01,1204.69566842528,1202.88491229673,1203.51542400188,0.682047999967971
1968-10-01,1205.02412248232,1204.69566842528,1202.88491229673,0.679906674175574
1969-01-01,1204.84377347215,1205.02412248232,1204.69566842528,0.678311067125901
1969-04-01,1205.74871322549,1204.84377347215,1205.02412248232,0.676656164350573
1969-07-01,1206.51451885268,1205.74871322549,1204.84377347215,0.675002363882564
1969-10-01,1207.28093973037,1206.51451885268,1205.74871322549,0.673370717117131
1970-01-01,1206.96581304875,1207.28093973037,1206.51451885268,0.672380281668206
1970-04-01,1209.62833519729,1206.96581304875,1207.28093973037,0.670354201756404
1970-07-01,1210.92139006589,1209.62833519729,1206.96581304875,0.668020276269964
1970-10-01,1212.02855631386,1210.92139006589,1209.62833519729,0.665530074282567
1971-01-01,1211.60308902282,1212.02855631386,1210.92139006589,0.663738269192202
1971-04-01,1213.35914887819,1211.60308902282,1212.02855631386,0.661387204560328
1971-07-01,1214.93256783997,1213.35914887819,1211.60308902282,0.658490372104241
1971-10-01,1214.97761571412,1214.93256783997,1213.35914887819,0.655889921490895
1972-01-01,1214.64152905613,1214.97761571412,1214.93256783997,0.653779351280429
