"dates","trend.smoothed"
1961-01-01,11.820450392444
1961-04-01,11.8309640027851
1961-07-01,11.8307975616249
1961-10-01,11.8322842402295
1962-01-01,11.8378354647753
1962-04-01,11.8465870970516
1962-07-01,11.8496578558668
1962-10-01,11.8415866823714
1963-01-01,11.840481339963
1963-04-01,11.8767216077578
1963-07-01,11.8753550783487
1963-10-01,11.892611294048
1964-01-01,11.8944522077855
1964-04-01,11.9096713961465
1964-07-01,11.9132215448572
1964-10-01,11.9296761909627
1965-01-01,11.930186930276
1965-04-01,11.9356041015873
1965-07-01,11.9493964668573
1965-10-01,11.9612754695753
1966-01-01,11.9683969399191
1966-04-01,11.978822635301
1966-07-01,11.9851159520864
1966-10-01,11.9824617253328
1967-01-01,11.9956735423068
1967-04-01,12.0076664792448
1967-07-01,12.0087494399622
1967-10-01,12.0090656403645
1968-01-01,12.0398348777655
1968-04-01,12.0306422762781
1968-07-01,12.045548665681
1968-10-01,12.0455704699279
1969-01-01,12.04086710675
1969-04-01,12.0477985259109
1969-07-01,12.0541673832551
1969-10-01,12.0613702521398
1970-01-01,12.0585760932663
1970-04-01,12.0864982053822
1970-07-01,12.1012918724583
1970-10-01,12.1146729828639
1971-01-01,12.1130627965603
1971-04-01,12.1337651625444
1971-07-01,12.1529381083943
1971-10-01,12.1569017668172
1972-01-01,12.1570584764629
1972-04-01,12.1805997414846
1972-07-01,12.1797486937878
1972-10-01,12.1909945559504
1973-01-01,12.2350581953705
1973-04-01,12.2321270227055
1973-07-01,12.2191066062946
1973-10-01,12.2123706801506
1974-01-01,12.1834977430295
1974-04-01,12.1980856003027
1974-07-01,12.2061288743601
1974-10-01,12.1943740189998
1975-01-01,12.1985985975246
1975-04-01,12.1861309871575
1975-07-01,12.1868103397165
1975-10-01,12.201901286327
1976-01-01,12.2205003738576
1976-04-01,12.2206614146989
1976-07-01,12.2336641345139
1976-10-01,12.2539253166566
1977-01-01,12.2522868324095
1977-04-01,12.2424209484622
1977-07-01,12.2458128716341
1977-10-01,12.2590014151671
1978-01-01,12.2641898227242
1978-04-01,12.2725945727714
1978-07-01,12.283909246196
1978-10-01,12.2916642582531
1979-01-01,12.2880176084801
1979-04-01,12.3323231713797
1979-07-01,12.3119969884976
1979-10-01,12.3254409694836
1980-01-01,12.3193071220262
1980-04-01,12.3026229743598
1980-07-01,12.3049073531139
1980-10-01,12.2965770955675
1981-01-01,12.2971453044233
1981-04-01,12.2999807954558
1981-07-01,12.3103867192899
1981-10-01,12.3102798866209
1982-01-01,12.3099759732449
1982-04-01,12.3176915256849
1982-07-01,12.317062158687
1982-10-01,12.3208629885877
1983-01-01,12.3361517209411
1983-04-01,12.3424506451425
1983-07-01,12.3519809708875
1983-10-01,12.3602143866183
1984-01-01,12.3677534030819
1984-04-01,12.3605241302479
1984-07-01,12.3692834328146
1984-10-01,12.3916700723524
1985-01-01,12.4028328448912
1985-04-01,12.4266617273137
1985-07-01,12.4299848241739
1985-10-01,12.4341782264616
1986-01-01,12.4463892805585
1986-04-01,12.4537892850597
1986-07-01,12.4574231020148
1986-10-01,12.4734191473477
1987-01-01,12.480349313217
1987-04-01,12.492230871426
1987-07-01,12.5134832877952
1987-10-01,12.5222056950561
1988-01-01,12.5378091679342
1988-04-01,12.5423095572003
1988-07-01,12.5568643487946
1988-10-01,12.5657394622189
1989-01-01,12.5712532689534
1989-04-01,12.5796168994104
1989-07-01,12.5829001068742
1989-10-01,12.5863768168681
1990-01-01,12.5955915087325
1990-04-01,12.6029233379952
1990-07-01,12.5941221640417
1990-10-01,12.5916867787356
1991-01-01,12.5889986328745
1991-04-01,12.587183131857
1991-07-01,12.583725460998
1991-10-01,12.5836173855935
1992-01-01,12.581475361931
1992-04-01,12.5779470858187
1992-07-01,12.5820628734878
1992-10-01,12.587116357271
1993-01-01,12.5929724678391
1993-04-01,12.597235032194
1993-07-01,12.6051283541527
1993-10-01,12.6125012262587
1994-01-01,12.62556794896
1994-04-01,12.6390145728178
1994-07-01,12.6524887069093
1994-10-01,12.6606876265674
1995-01-01,12.6668924601078
1995-04-01,12.6721635267707
1995-07-01,12.6823989076399
1995-10-01,12.6840778726455
1996-01-01,12.6929365651488
1996-04-01,12.6955766776454
1996-07-01,12.7029061876306
1996-10-01,12.7087706869369
1997-01-01,12.7204992516006
1997-04-01,12.7271484001822
1997-07-01,12.732764293043
1997-10-01,12.7432777169082
1998-01-01,12.7511674538967
1998-04-01,12.7598114052404
1998-07-01,12.7670920034979
1998-10-01,12.7781661303789
1999-01-01,12.7859228877304
1999-04-01,12.7897312652892
1999-07-01,12.8097904844698
1999-10-01,12.8258326171349
2000-01-01,12.8348762555324
2000-04-01,12.8414820396132
2000-07-01,12.8447078554779
2000-10-01,12.846205062098
2001-01-01,12.8597795922175
2001-04-01,12.8670020357542
2001-07-01,12.873473833384
2001-10-01,12.875518043771
2002-01-01,12.8782556108183
2002-04-01,12.8817818016414
2002-07-01,12.8881714982056
2002-10-01,12.8959465987408
2003-01-01,12.9022913044583
2003-04-01,12.9118657159606
2003-07-01,12.922865495645
2003-10-01,12.9324272746221
2004-01-01,12.9392826718949
2004-04-01,12.9444111906998
2004-07-01,12.9475844912662
2004-10-01,12.9521874341409
2005-01-01,12.961542437274
2005-04-01,12.9744549826828
2005-07-01,12.9858569082237
2005-10-01,13.0003411305982
2006-01-01,13.0034923363034
2006-04-01,13.0048344645678
2006-07-01,13.0044838084657
2006-10-01,13.0082269965398
2007-01-01,13.0161688844894
2007-04-01,13.0212307367048
2007-07-01,13.028187726435
